id,malId,snapshotDate,rank,popularity,score,scoredBy,members,favorites,etlRunId,genres,title
62,41467,2025-08-21,12,361,8.99,349079,653989,22509,rankings-20250821-210609-0e0a2342,"{Action,Adventure,Supernatural}",Bleach: Sennen Kessen-hen
63,34096,2025-08-21,13,784,8.98,155656,338650,2795,rankings-20250821-210609-0e0a2342,"{Action,Comedy,Sci-Fi}",Gintama.
64,43608,2025-08-21,14,167,8.97,597752,1051630,32604,rankings-20250821-210609-0e0a2342,"{Comedy,Romance}",Kaguya-sama wa Kokurasetai: Ultra Romantic
65,42938,2025-08-21,15,452,8.95,267064,537861,21077,rankings-20250821-210609-0e0a2342,"{Drama,Romance,Supernatural}",Fruits Basket: The Final
66,4181,2025-08-21,16,121,8.93,686291,1254817,72449,rankings-20250821-210609-0e0a2342,"{Drama,Romance}",Clannad: After Story
67,918,2025-08-21,17,147,8.93,414765,1125530,60884,rankings-20250821-210609-0e0a2342,"{Action,Comedy,Sci-Fi}",Gintama
68,28851,2025-08-21,18,19,8.93,1732008,2514634,93349,rankings-20250821-210609-0e0a2342,"{""Award Winning"",Drama}",Koe no Katachi
69,58514,2025-08-21,19,682,8.92,166565,380977,5432,rankings-20250821-210609-0e0a2342,"{Drama,Mystery}",Kusuriya no Hitorigoto 2nd Season
70,2904,2025-08-21,20,47,8.91,1260238,1893311,79372,rankings-20250821-210609-0e0a2342,"{Action,""Award Winning"",Drama,Sci-Fi}",Code Geass: Hangyaku no Lelouch R2
71,35180,2025-08-21,21,593,8.90,210402,427872,15306,rankings-20250821-210609-0e0a2342,{Drama},3-gatsu no Lion 2nd Season
72,15335,2025-08-21,22,1044,8.90,141885,256461,2141,rankings-20250821-210609-0e0a2342,"{Action,Comedy,Sci-Fi}",Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare
73,60489,2025-08-21,24,1397,8.89,90771,189055,3886,rankings-20250821-210609-0e0a2342,"{Drama,Sci-Fi}",Takopii no Genzai
74,19,2025-08-21,23,120,8.89,479306,1257162,58844,rankings-20250821-210609-0e0a2342,"{Drama,Mystery,Suspense}",Monster
75,37491,2025-08-21,25,1227,8.88,103642,218339,1085,rankings-20250821-210609-0e0a2342,"{Action,Comedy,Sci-Fi}",Gintama. Shirogane no Tamashii-hen - Kouhan-sen
76,54492,2025-08-21,27,320,8.86,386754,704560,22682,rankings-20250821-210609-0e0a2342,"{Drama,Mystery}",Kusuriya no Hitorigoto
77,51535,2025-08-21,26,270,8.86,478487,794175,16764,rankings-20250821-210609-0e0a2342,"{Action,Drama,Suspense}",Shingeki no Kyojin: The Final Season - Kanketsu-hen
78,35247,2025-08-21,28,596,8.86,204992,425805,8944,rankings-20250821-210609-0e0a2342,"{Comedy,Mystery,Supernatural}",Owarimonogatari 2nd Season
79,37987,2025-08-21,29,332,8.84,319025,690089,9407,rankings-20250821-210609-0e0a2342,"{""Award Winning"",Drama}",Violet Evergarden Movie
80,59571,2025-08-21,30,3157,8.83,21698,58157,419,rankings-20250821-210609-0e0a2342,"{Action,Drama,Suspense}",Shingeki no Kyojin Movie: Kanketsu-hen - The Last Attack
81,40682,2025-08-21,32,1986,8.83,49381,123282,2481,rankings-20250821-210609-0e0a2342,{Action},Kingdom 3rd Season
82,32281,2025-08-21,31,11,8.83,2020509,2930861,93979,rankings-20250821-210609-0e0a2342,"{""Award Winning"",Drama}",Kimi no Na wa.
83,49387,2025-08-21,33,284,8.82,428687,775036,18640,rankings-20250821-210609-0e0a2342,"{Action,Adventure,Drama}",Vinland Saga Season 2
84,36838,2025-08-21,34,1165,8.81,112434,230899,1213,rankings-20250821-210609-0e0a2342,"{Action,Comedy,Sci-Fi}",Gintama. Shirogane no Tamashii-hen
85,59192,2025-08-21,35,1470,8.79,8819,179111,1628,rankings-20250821-210609-0e0a2342,"{Action,Supernatural}",Kimetsu no Yaiba Movie: Mugen Jou-hen
86,37510,2025-08-21,37,73,8.78,1048701,1663105,33397,rankings-20250821-210609-0e0a2342,"{Action,Comedy,Supernatural}",Mob Psycho 100 II
87,31758,2025-08-21,36,498,8.78,289084,496878,7958,rankings-20250821-210609-0e0a2342,"{Action,Mystery,Supernatural}",Kizumonogatari III: Reiketsu-hen
88,40028,2025-08-21,38,31,8.78,1454486,2190400,53335,rankings-20250821-210609-0e0a2342,"{Action,Drama,Suspense}",Shingeki no Kyojin: The Final Season
89,263,2025-08-21,39,355,8.78,326201,661667,24217,rankings-20250821-210609-0e0a2342,{Sports},Hajime no Ippo
90,32935,2025-08-21,40,116,8.77,850188,1288847,15882,rankings-20250821-210609-0e0a2342,{Sports},Haikyuu!! Karasuno Koukou vs. Shiratorizawa Gakuen Koukou
91,37521,2025-08-21,43,65,8.77,995526,1714801,53991,rankings-20250821-210609-0e0a2342,"{Action,Adventure,Drama}",Vinland Saga
92,199,2025-08-21,41,44,8.77,1374952,1970767,34479,rankings-20250821-210609-0e0a2342,"{Adventure,""Award Winning"",Fantasy}",Sen to Chihiro no Kamikakushi
93,48583,2025-08-21,42,95,8.77,870618,1470377,31588,rankings-20250821-210609-0e0a2342,"{Action,Drama,Suspense}",Shingeki no Kyojin: The Final Season Part 2
95,17074,2025-08-21,44,321,8.76,373137,704114,24032,rankings-20250821-210609-0e0a2342,"{Comedy,Mystery,Romance,Supernatural}",Monogatari Series: Second Season
96,55255,2025-08-21,46,6798,8.75,4210,10523,585,rankings-20250821-210609-0e0a2342,"{Drama,Sci-Fi,Suspense}",Alien Stage
97,47917,2025-08-21,46,307,8.75,435050,721513,34163,rankings-20250821-210609-0e0a2342,{Comedy},Bocchi the Rock!
98,1,2025-08-21,47,42,8.75,1028583,1992385,87298,rankings-20250821-210609-0e0a2342,"{Action,""Award Winning"",Sci-Fi}",Cowboy Bebop
99,51009,2025-08-21,48,124,8.74,710723,1238578,24705,rankings-20250821-210609-0e0a2342,"{Action,Supernatural}",Jujutsu Kaisen 2nd Season
100,55690,2025-08-21,52,966,8.73,155308,276229,5784,rankings-20250821-210609-0e0a2342,"{Comedy,Romance}",Boku no Kokoro no Yabai Yatsu 2nd Season
101,1,2025-07-02,49,41,8.71,1039824,1993990,87306,rankings-20250702-210408-cf21e2de,"{Action,""Award Winning"",Sci-Fi}",Cowboy Bebop
102,19,2025-07-02,16,118,8.92,470494,1237906,58658,rankings-20250702-210408-cf21e2de,"{Drama,Mystery,Suspense}",Monster
103,199,2025-07-02,45,44,8.75,1378060,1919298,33819,rankings-20250702-210408-cf21e2de,"{Adventure,""Award Winning"",Fantasy}",Sen to Chihiro no Kamikakushi
104,263,2025-07-02,44,357,8.75,318423,657400,24380,rankings-20250702-210408-cf21e2de,{Sports},Hajime no Ippo
105,820,2025-07-02,9,753,9.03,85154,346279,17023,rankings-20250702-210408-cf21e2de,"{Drama,Sci-Fi}",Ginga Eiyuu Densetsu
106,918,2025-07-02,15,146,8.92,414073,1098364,59344,rankings-20250702-210408-cf21e2de,"{Action,Comedy,Sci-Fi}",Gintama
107,2904,2025-07-02,20,45,8.91,1236978,1903410,77211,rankings-20250702-210408-cf21e2de,"{Action,""Award Winning"",Drama,Sci-Fi}",Code Geass: Hangyaku no Lelouch R2
108,2921,2025-07-02,48,2995,8.73,24715,62172,3130,rankings-20250702-210408-cf21e2de,"{Drama,Sports}",Ashita no Joe 2
109,4181,2025-07-02,17,120,8.92,675121,1269356,74486,rankings-20250702-210408-cf21e2de,"{Drama,Romance}",Clannad: After Story
110,5114,2025-07-02,2,2,9.10,2300060,3575547,235472,rankings-20250702-210408-cf21e2de,"{Action,Adventure,Drama,Fantasy}",Fullmetal Alchemist: Brotherhood
111,9253,2025-07-02,4,14,9.07,1497407,2672139,202330,rankings-20250702-210408-cf21e2de,"{Drama,Sci-Fi,Suspense}",Steins;Gate
112,9969,2025-07-02,8,400,9.03,251846,582947,8401,rankings-20250702-210408-cf21e2de,"{Action,Comedy,Sci-Fi}",Gintama'
113,11061,2025-07-02,13,8,8.99,1851486,3122835,224572,rankings-20250702-210408-cf21e2de,"{Action,Adventure,Fantasy}",Hunter x Hunter (2011)
114,15335,2025-07-02,23,1017,8.88,143352,260287,2140,rankings-20250702-210408-cf21e2de,"{Action,Comedy,Sci-Fi}",Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare
115,15417,2025-07-02,5,753,9.07,176398,353353,3097,rankings-20250702-210408-cf21e2de,"{Action,Comedy,Sci-Fi}",Gintama': Enchousen
116,17074,2025-07-02,42,329,8.76,381804,719119,24133,rankings-20250702-210408-cf21e2de,"{Comedy,Mystery,Romance,Supernatural}",Monogatari Series: Second Season
117,28851,2025-07-02,21,18,8.90,1737027,2472717,94074,rankings-20250702-210408-cf21e2de,"{""Award Winning"",Drama}",Koe no Katachi
118,28977,2025-07-02,3,345,9.08,264303,665432,17665,rankings-20250702-210408-cf21e2de,"{Action,Comedy,Sci-Fi}",Gintama°
119,31758,2025-07-02,41,492,8.76,286798,503773,8134,rankings-20250702-210408-cf21e2de,"{Action,Mystery,Supernatural}",Kizumonogatari III: Reiketsu-hen
120,32281,2025-07-02,35,10,8.81,1996979,2994614,91459,rankings-20250702-210408-cf21e2de,"{""Award Winning"",Drama}",Kimi no Na wa.
121,32935,2025-07-02,47,117,8.73,846103,1264587,15964,rankings-20250702-210408-cf21e2de,{Sports},Haikyuu!! Karasuno Koukou vs. Shiratorizawa Gakuen Koukou
122,34096,2025-07-02,11,761,9.00,153786,347137,2814,rankings-20250702-210408-cf21e2de,"{Action,Comedy,Sci-Fi}",Gintama.
123,35180,2025-07-02,25,579,8.86,213578,433038,15045,rankings-20250702-210408-cf21e2de,{Drama},3-gatsu no Lion 2nd Season
124,35247,2025-07-02,32,598,8.82,204665,416759,8960,rankings-20250702-210408-cf21e2de,"{Comedy,Mystery,Supernatural}",Owarimonogatari 2nd Season
125,36838,2025-07-02,30,1198,8.84,111695,230729,1240,rankings-20250702-210408-cf21e2de,"{Action,Comedy,Sci-Fi}",Gintama. Shirogane no Tamashii-hen
126,37491,2025-07-02,28,1200,8.85,106687,222360,1107,rankings-20250702-210408-cf21e2de,"{Action,Comedy,Sci-Fi}",Gintama. Shirogane no Tamashii-hen - Kouhan-sen
127,37510,2025-07-02,40,71,8.77,1017660,1706602,34317,rankings-20250702-210408-cf21e2de,"{Action,Comedy,Supernatural}",Mob Psycho 100 II
128,37521,2025-07-02,34,63,8.81,976469,1750530,55564,rankings-20250702-210408-cf21e2de,"{Action,Adventure,Drama}",Vinland Saga
129,37987,2025-07-02,27,327,8.85,318525,683096,9682,rankings-20250702-210408-cf21e2de,"{""Award Winning"",Drama}",Violet Evergarden Movie
130,38524,2025-07-02,6,20,9.06,1725708,2546152,59956,rankings-20250702-210408-cf21e2de,"{Action,Drama,Suspense}",Shingeki no Kyojin Season 3 Part 2
131,39486,2025-07-02,7,1560,9.04,83689,177102,4508,rankings-20250702-210408-cf21e2de,"{Action,Comedy,Drama,Sci-Fi}",Gintama: The Final
132,40028,2025-07-02,31,31,8.83,1454111,2178227,54875,rankings-20250702-210408-cf21e2de,"{Action,Drama,Suspense}",Shingeki no Kyojin: The Final Season
133,40682,2025-07-02,36,2030,8.79,50637,123037,2460,rankings-20250702-210408-cf21e2de,{Action},Kingdom 3rd Season
134,41467,2025-07-02,14,350,8.95,342846,635043,23017,rankings-20250702-210408-cf21e2de,"{Action,Adventure,Supernatural}",Bleach: Sennen Kessen-hen
135,42938,2025-07-02,18,460,8.92,264444,524673,21399,rankings-20250702-210408-cf21e2de,"{Drama,Romance,Supernatural}",Fruits Basket: The Final
136,43608,2025-07-02,10,165,9.00,600373,1028027,32409,rankings-20250702-210408-cf21e2de,"{Comedy,Romance}",Kaguya-sama wa Kokurasetai: Ultra Romantic
137,47917,2025-07-02,39,302,8.78,425120,715011,35154,rankings-20250702-210408-cf21e2de,{Comedy},Bocchi the Rock!
138,48583,2025-07-02,33,97,8.81,865287,1432857,32150,rankings-20250702-210408-cf21e2de,"{Action,Drama,Suspense}",Shingeki no Kyojin: The Final Season Part 2
139,49387,2025-07-02,37,291,8.79,418355,789979,19104,rankings-20250702-210408-cf21e2de,"{Action,Adventure,Drama}",Vinland Saga Season 2
140,51009,2025-07-02,50,124,8.70,710117,1243304,24107,rankings-20250702-210408-cf21e2de,"{Action,Supernatural}",Jujutsu Kaisen 2nd Season
141,51535,2025-07-02,26,275,8.86,464990,795259,17172,rankings-20250702-210408-cf21e2de,"{Action,Drama,Suspense}",Shingeki no Kyojin: The Final Season - Kanketsu-hen
142,52991,2025-07-02,1,136,9.29,705031,1228246,74524,rankings-20250702-210408-cf21e2de,"{Adventure,Drama,Fantasy}",Sousou no Frieren
143,54492,2025-07-02,22,314,8.90,381599,695053,22693,rankings-20250702-210408-cf21e2de,"{Drama,Mystery}",Kusuriya no Hitorigoto
144,55255,2025-07-02,43,6780,8.76,4148,10692,584,rankings-20250702-210408-cf21e2de,"{Drama,Sci-Fi,Suspense}",Alien Stage
145,55690,2025-07-02,46,972,8.74,154736,282575,5765,rankings-20250702-210408-cf21e2de,"{Comedy,Romance}",Boku no Kokoro no Yabai Yatsu 2nd Season
146,58514,2025-07-02,19,682,8.91,165683,369643,5473,rankings-20250702-210408-cf21e2de,"{Drama,Mystery}",Kusuriya no Hitorigoto 2nd Season
147,59192,2025-07-02,38,1450,8.78,9039,179839,1655,rankings-20250702-210408-cf21e2de,"{Action,Supernatural}",Kimetsu no Yaiba Movie: Mugen Jou-hen
148,59571,2025-07-02,29,3104,8.84,21972,59321,408,rankings-20250702-210408-cf21e2de,"{Action,Drama,Suspense}",Shingeki no Kyojin Movie: Kanketsu-hen - The Last Attack
149,60022,2025-07-02,12,1964,8.99,89678,121609,2306,rankings-20250702-210408-cf21e2de,"{Action,Adventure,Fantasy}",One Piece Fan Letter
150,60489,2025-07-02,24,1426,8.87,89540,192350,3800,rankings-20250702-210408-cf21e2de,"{Drama,Sci-Fi}",Takopii no Genzai
151,1,2025-07-03,46,41,8.74,1044475,1975986,89455,rankings-20250703-210408-2015edbd,"{Action,""Award Winning"",Sci-Fi}",Cowboy Bebop
152,19,2025-07-03,28,117,8.87,490839,1281038,58901,rankings-20250703-210408-2015edbd,"{Drama,Mystery,Suspense}",Monster
153,199,2025-07-03,43,42,8.75,1400646,1959638,34176,rankings-20250703-210408-2015edbd,"{Adventure,""Award Winning"",Fantasy}",Sen to Chihiro no Kamikakushi
154,263,2025-07-03,32,365,8.82,330332,649139,23568,rankings-20250703-210408-2015edbd,{Sports},Hajime no Ippo
155,820,2025-07-03,10,731,9.01,86384,352730,17239,rankings-20250703-210408-2015edbd,"{Drama,Sci-Fi}",Ginga Eiyuu Densetsu
156,918,2025-07-03,13,147,8.96,426857,1116476,62130,rankings-20250703-210408-2015edbd,"{Action,Comedy,Sci-Fi}",Gintama
157,2904,2025-07-03,23,47,8.90,1242568,1912136,77055,rankings-20250703-210408-2015edbd,"{Action,""Award Winning"",Drama,Sci-Fi}",Code Geass: Hangyaku no Lelouch R2
158,2921,2025-07-03,47,3023,8.73,23967,62434,3112,rankings-20250703-210408-2015edbd,"{Drama,Sports}",Ashita no Joe 2
159,4181,2025-07-03,22,122,8.90,706036,1250726,74036,rankings-20250703-210408-2015edbd,"{Drama,Romance}",Clannad: After Story
160,5114,2025-07-03,2,2,9.11,2267223,3461628,236638,rankings-20250703-210408-2015edbd,"{Action,Adventure,Drama,Fantasy}",Fullmetal Alchemist: Brotherhood
161,9253,2025-07-03,6,14,9.05,1486867,2803503,194460,rankings-20250703-210408-2015edbd,"{Drama,Sci-Fi,Suspense}",Steins;Gate
162,9969,2025-07-03,7,408,9.05,254560,589049,8476,rankings-20250703-210408-2015edbd,"{Action,Comedy,Sci-Fi}",Gintama'
163,11061,2025-07-03,9,8,9.02,1954751,3064612,217269,rankings-20250703-210408-2015edbd,"{Action,Adventure,Fantasy}",Hunter x Hunter (2011)
164,15335,2025-07-03,25,1060,8.89,142512,252555,2113,rankings-20250703-210408-2015edbd,"{Action,Comedy,Sci-Fi}",Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare
165,15417,2025-07-03,12,749,8.99,173906,357169,3066,rankings-20250703-210408-2015edbd,"{Action,Comedy,Sci-Fi}",Gintama': Enchousen
166,17074,2025-07-03,35,318,8.81,370731,707551,23334,rankings-20250703-210408-2015edbd,"{Comedy,Mystery,Romance,Supernatural}",Monogatari Series: Second Season
167,28851,2025-07-03,18,18,8.91,1731832,2536409,91722,rankings-20250703-210408-2015edbd,"{""Award Winning"",Drama}",Koe no Katachi
168,28977,2025-07-03,3,347,9.10,268945,661941,17520,rankings-20250703-210408-2015edbd,"{Action,Comedy,Sci-Fi}",Gintama°
169,31758,2025-07-03,44,488,8.75,294966,508795,7721,rankings-20250703-210408-2015edbd,"{Action,Mystery,Supernatural}",Kizumonogatari III: Reiketsu-hen
170,32281,2025-07-03,29,10,8.87,2012027,2981450,92909,rankings-20250703-210408-2015edbd,"{""Award Winning"",Drama}",Kimi no Na wa.
171,32935,2025-07-03,36,114,8.80,857955,1303659,15533,rankings-20250703-210408-2015edbd,{Sports},Haikyuu!! Karasuno Koukou vs. Shiratorizawa Gakuen Koukou
172,34096,2025-07-03,14,802,8.96,153061,338627,2750,rankings-20250703-210408-2015edbd,"{Action,Comedy,Sci-Fi}",Gintama.
173,35180,2025-07-03,20,600,8.91,211245,433104,15206,rankings-20250703-210408-2015edbd,{Drama},3-gatsu no Lion 2nd Season
174,35247,2025-07-03,26,610,8.87,205902,433705,8966,rankings-20250703-210408-2015edbd,"{Comedy,Mystery,Supernatural}",Owarimonogatari 2nd Season
175,36838,2025-07-03,37,1184,8.80,111970,225450,1185,rankings-20250703-210408-2015edbd,"{Action,Comedy,Sci-Fi}",Gintama. Shirogane no Tamashii-hen
176,37491,2025-07-03,30,1216,8.85,106038,215299,1088,rankings-20250703-210408-2015edbd,"{Action,Comedy,Sci-Fi}",Gintama. Shirogane no Tamashii-hen - Kouhan-sen
177,37510,2025-07-03,39,71,8.79,1057515,1640402,33926,rankings-20250703-210408-2015edbd,"{Action,Comedy,Supernatural}",Mob Psycho 100 II
178,37521,2025-07-03,40,65,8.79,988430,1670249,53510,rankings-20250703-210408-2015edbd,"{Action,Adventure,Drama}",Vinland Saga
179,37987,2025-07-03,38,334,8.79,316699,691097,9547,rankings-20250703-210408-2015edbd,"{""Award Winning"",Drama}",Violet Evergarden Movie
180,38524,2025-07-03,5,20,9.06,1713524,2541504,63064,rankings-20250703-210408-2015edbd,"{Action,Drama,Suspense}",Shingeki no Kyojin Season 3 Part 2
181,39486,2025-07-03,4,1529,9.09,83044,171291,4532,rankings-20250703-210408-2015edbd,"{Action,Comedy,Drama,Sci-Fi}",Gintama: The Final
182,40028,2025-07-03,41,31,8.78,1481200,2174827,52313,rankings-20250703-210408-2015edbd,"{Action,Drama,Suspense}",Shingeki no Kyojin: The Final Season
183,40682,2025-07-03,27,1993,8.87,49488,119926,2449,rankings-20250703-210408-2015edbd,{Action},Kingdom 3rd Season
184,41467,2025-07-03,11,363,9.01,340894,648105,22831,rankings-20250703-210408-2015edbd,"{Action,Adventure,Supernatural}",Bleach: Sennen Kessen-hen
185,42938,2025-07-03,16,453,8.94,259844,525525,20666,rankings-20250703-210408-2015edbd,"{Drama,Romance,Supernatural}",Fruits Basket: The Final
186,43608,2025-07-03,17,164,8.92,600996,1063877,32044,rankings-20250703-210408-2015edbd,"{Comedy,Romance}",Kaguya-sama wa Kokurasetai: Ultra Romantic
187,47917,2025-07-03,50,315,8.71,437748,734181,34657,rankings-20250703-210408-2015edbd,{Comedy},Bocchi the Rock!
188,48583,2025-07-03,45,94,8.74,865223,1483512,31125,rankings-20250703-210408-2015edbd,"{Action,Drama,Suspense}",Shingeki no Kyojin: The Final Season Part 2
189,49387,2025-07-03,33,276,8.81,427098,765155,18085,rankings-20250703-210408-2015edbd,"{Action,Adventure,Drama}",Vinland Saga Season 2
190,51009,2025-07-03,49,127,8.72,703124,1210384,24750,rankings-20250703-210408-2015edbd,"{Action,Supernatural}",Jujutsu Kaisen 2nd Season
191,51535,2025-07-03,19,269,8.91,477895,811158,16554,rankings-20250703-210408-2015edbd,"{Action,Drama,Suspense}",Shingeki no Kyojin: The Final Season - Kanketsu-hen
192,52991,2025-07-03,1,136,9.27,704806,1178269,74588,rankings-20250703-210408-2015edbd,"{Adventure,Drama,Fantasy}",Sousou no Frieren
193,54492,2025-07-03,24,320,8.89,391972,684559,22044,rankings-20250703-210408-2015edbd,"{Drama,Mystery}",Kusuriya no Hitorigoto
194,55255,2025-07-03,42,6602,8.77,4300,10812,575,rankings-20250703-210408-2015edbd,"{Drama,Sci-Fi,Suspense}",Alien Stage
195,55690,2025-07-03,48,971,8.73,155400,269104,5884,rankings-20250703-210408-2015edbd,"{Comedy,Romance}",Boku no Kokoro no Yabai Yatsu 2nd Season
196,58514,2025-07-03,15,675,8.95,167825,380488,5367,rankings-20250703-210408-2015edbd,"{Drama,Mystery}",Kusuriya no Hitorigoto 2nd Season
197,59192,2025-07-03,34,1498,8.81,8825,176471,1615,rankings-20250703-210408-2015edbd,"{Action,Supernatural}",Kimetsu no Yaiba Movie: Mugen Jou-hen
198,59571,2025-07-03,31,3174,8.83,21327,58880,430,rankings-20250703-210408-2015edbd,"{Action,Drama,Suspense}",Shingeki no Kyojin Movie: Kanketsu-hen - The Last Attack
199,60022,2025-07-03,8,1983,9.04,88608,122152,2398,rankings-20250703-210408-2015edbd,"{Action,Adventure,Fantasy}",One Piece Fan Letter
200,60489,2025-07-03,21,1417,8.90,91834,189013,3942,rankings-20250703-210408-2015edbd,"{Drama,Sci-Fi}",Takopii no Genzai
201,1,2025-07-04,41,42,8.76,1041003,2021424,87307,rankings-20250704-210408-1c3cdbbc,"{Action,""Award Winning"",Sci-Fi}",Cowboy Bebop
202,19,2025-07-04,22,121,8.89,474418,1243025,59738,rankings-20250704-210408-1c3cdbbc,"{Drama,Mystery,Suspense}",Monster
203,199,2025-07-04,47,44,8.74,1343493,1994327,34738,rankings-20250704-210408-1c3cdbbc,"{Adventure,""Award Winning"",Fantasy}",Sen to Chihiro no Kamikakushi
204,263,2025-07-04,36,349,8.80,321922,644247,23613,rankings-20250704-210408-1c3cdbbc,{Sports},Hajime no Ippo
205,820,2025-07-04,7,733,9.02,82872,358801,16956,rankings-20250704-210408-1c3cdbbc,"{Drama,Sci-Fi}",Ginga Eiyuu Densetsu
206,918,2025-07-04,21,147,8.90,419520,1114479,59919,rankings-20250704-210408-1c3cdbbc,"{Action,Comedy,Sci-Fi}",Gintama
207,2904,2025-07-04,25,47,8.88,1232561,1908442,80220,rankings-20250704-210408-1c3cdbbc,"{Action,""Award Winning"",Drama,Sci-Fi}",Code Geass: Hangyaku no Lelouch R2
208,2921,2025-07-04,33,3117,8.81,24492,62129,3112,rankings-20250704-210408-1c3cdbbc,"{Drama,Sports}",Ashita no Joe 2
209,4181,2025-07-04,17,123,8.94,699208,1251922,71698,rankings-20250704-210408-1c3cdbbc,"{Drama,Romance}",Clannad: After Story
210,5114,2025-07-04,2,3,9.08,2302662,3657450,242775,rankings-20250704-210408-1c3cdbbc,"{Action,Adventure,Drama,Fantasy}",Fullmetal Alchemist: Brotherhood
211,9253,2025-07-04,5,13,9.03,1467576,2797950,195007,rankings-20250704-210408-1c3cdbbc,"{Drama,Sci-Fi,Suspense}",Steins;Gate
212,9969,2025-07-04,10,408,9.01,253564,582787,8562,rankings-20250704-210408-1c3cdbbc,"{Action,Comedy,Sci-Fi}",Gintama'
213,11061,2025-07-04,6,7,9.03,1960094,3066810,223015,rankings-20250704-210408-1c3cdbbc,"{Action,Adventure,Fantasy}",Hunter x Hunter (2011)
214,15335,2025-07-04,18,1037,8.94,142051,249549,2183,rankings-20250704-210408-1c3cdbbc,"{Action,Comedy,Sci-Fi}",Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare
215,15417,2025-07-04,9,746,9.01,178262,344026,3223,rankings-20250704-210408-1c3cdbbc,"{Action,Comedy,Sci-Fi}",Gintama': Enchousen
216,17074,2025-07-04,40,315,8.76,369326,689978,23643,rankings-20250704-210408-1c3cdbbc,"{Comedy,Mystery,Romance,Supernatural}",Monogatari Series: Second Season
217,28851,2025-07-04,23,18,8.88,1771028,2531310,94715,rankings-20250704-210408-1c3cdbbc,"{""Award Winning"",Drama}",Koe no Katachi
218,28977,2025-07-04,3,341,9.07,270892,688861,17384,rankings-20250704-210408-1c3cdbbc,"{Action,Comedy,Sci-Fi}",Gintama°
219,31758,2025-07-04,42,489,8.76,289593,495887,8040,rankings-20250704-210408-1c3cdbbc,"{Action,Mystery,Supernatural}",Kizumonogatari III: Reiketsu-hen
220,32281,2025-07-04,35,10,8.80,1967503,2861862,92454,rankings-20250704-210408-1c3cdbbc,"{""Award Winning"",Drama}",Kimi no Na wa.
221,32935,2025-07-04,45,119,8.75,837490,1288606,15901,rankings-20250704-210408-1c3cdbbc,{Sports},Haikyuu!! Karasuno Koukou vs. Shiratorizawa Gakuen Koukou
222,34096,2025-07-04,16,762,8.95,153100,347531,2878,rankings-20250704-210408-1c3cdbbc,"{Action,Comedy,Sci-Fi}",Gintama.
223,35180,2025-07-04,19,601,8.94,206299,438470,15610,rankings-20250704-210408-1c3cdbbc,{Drama},3-gatsu no Lion 2nd Season
224,35247,2025-07-04,32,604,8.82,201306,430617,9127,rankings-20250704-210408-1c3cdbbc,"{Comedy,Mystery,Supernatural}",Owarimonogatari 2nd Season
225,36838,2025-07-04,30,1156,8.85,113382,227248,1236,rankings-20250704-210408-1c3cdbbc,"{Action,Comedy,Sci-Fi}",Gintama. Shirogane no Tamashii-hen
226,37491,2025-07-04,20,1213,8.91,104635,218975,1068,rankings-20250704-210408-1c3cdbbc,"{Action,Comedy,Sci-Fi}",Gintama. Shirogane no Tamashii-hen - Kouhan-sen
